actual_tweets,final_sentiment,clean_tweets,positive_count,negative_count
16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Negative,  hrs heptonstall halifax locate person fallen ravine wooded guide officers,1,4
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations,2,2
I wanna give a shout out to all the HRM folk that followed me for my Halifax Transit comments but then didn t imme ,Negative,wanna shout hrm folk followed halifax transit comments didn imme,0,1
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations,2,2
 MaximeBernier I watched your interview with the Toronto Sun Excellent answers as always I believe you are the o ,Negative,maximebernier watched interview toronto sun excellent answers believe,2,3
RT RCMPNS MissingPerson Halifax District RCMP seeks public s assistance locating missing man LowerSackville R ,Negative,rcmpns missingperson halifax district rcmp seeks public assistance locating missing lowersackville,0,5
RT teamnovascotia Congrats to Alex Bulgaru of Halifax He won his first bout at the 2019CanadaGames via referee stoppage supernova ht ,Positive,teamnovascotia congrats alex bulgaru halifax won canadagames via referee stoppage supernova,3,1
RT FlytrippersOTT Flight deals from Ottawa top8 eight reasons to visit NewZealand YOW ott ncr traveltuesday travel trav ,Positive,flytrippersott flight deals ottawa top eight reasons visit newzealand yow ott ncr traveltuesday travel trav,2,1
RT FlytrippersCGY Flight deals from Calgary top8 eight reasons to visit NewZealand YYC cgy ab abtravel traveltuesday tr ,Positive,flytripperscgy flight deals calgary top eight reasons visit newzealand yyc cgy abtravel traveltuesday tr,2,1
RT FlytrippersWPG Flight deals from Winnipeg top8 eight reasons to visit NewZealand YWG wpg mnb traveltuesday travel tr ,Positive,flytripperswpg flight deals winnipeg top eight reasons visit newzealand ywg wpg mnb traveltuesday travel tr,3,1
RT cmysaul Put the brakes on ClimateChange 1 5 to stay alive I have seen the future and it s not oil halifax ExtinctionRebellion ht ,Negative,cmysaul brakes climatechange   stay alive seen future oil halifax extinctionrebellion,0,2
 crankywxguy Love me some high pressure that keeps this south of Halifax,Negative,crankywxguy love pressure south halifax,1,2
 Flight deals from Winnipeg top8 eight reasons to visit NewZealand YWG wpg mnb traveltuesday travel very expensive ,Positive,flight deals winnipeg top eight reasons visit newzealand ywg wpg mnb traveltuesday travel expensive,3,1
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
 BlackHistoryMonth Private Eva May Roy worked in a military restaurant in Halifax during the Second World War Sh ,Negative,blackhistorymonth private eva roy military restaurant halifax world,0,3
16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Negative,  hrs heptonstall halifax locate person fallen ravine wooded guide officers,1,4
Halifax Nova Scotia,Negative,halifax nova scotia,0,1
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations CBC News ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations cbc news,2,2
RT theboutiqueadv 25 Fun Things to do in Halifax Nova Scotia ,Neutral,theboutiqueadv  fun halifax nova scotia,1,1
Why has every single person in Halifax played volleyball,Negative,single person halifax played volleyball,0,2
Mon midnight Temp 5 7 C Windchill 11 Wind NW 15 km h Humidity 54 Press 101 7 kPa rising ,Negative,midnight temp   windchill  wind nw  km humidity  press   kpa rising,1,4
Keyholder Sales Associate Halifax Structube Halifax NS Description The Key Holder Sales Associate is resp ,Negative,keyholder sales associate halifax structube halifax description key holder sales associate resp,0,2
Customer Loyalty Representative Admiral Insurance Services Halifax NS Halifax Nova Scotia In a competitive ma ,Neutral,customer loyalty representative admiral insurance services halifax halifax nova scotia competitive,3,3
RT Whale Sanctuary From thestarhalifax Nova Scotia HALIFAX A group hoping to create the world s first seaside sanctuary to welcome whal ,Positive,whale sanctuary thestarhalifax nova scotia halifax hoping create world seaside sanctuary welcome whal,2,1
the band in Halifax is playing sonny s dream with three electric guitars and I am honestly one chord away from filing a noise complaint,Negative,band halifax playing sonny dream electric guitars honestly chord filing noise complaint,1,4
Yeah awesome shit Styres You already took our team but now you re taking our history too What we earned BEFO ,Neutral,yeah awesome shit styres team taking history earned,2,2
RT AlbiDeak Halifax Discovery Centre celebrates 38th annual World Whale Day CetaceanRights RacingExtinction ,Positive,albideak halifax discovery centre celebrates th annual world whale cetaceanrights racingextinction,3,2
RT CBCNS After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations https ,Neutral,cbcns wilson raybould cartoon halifax artist stop drawing women violent situations https,2,2
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
 BlackHistoryMonth Private Eva May Roy worked in a military restaurant in Halifax during the Second World War Sh ,Negative,blackhistorymonth private eva roy military restaurant halifax world,0,3
16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Negative,  hrs heptonstall halifax locate person fallen ravine wooded guide officers,1,4
Co Manager Halifax Shopping Centre La Senza Corporation Halifax NS The role of the Co manager is to assist th ,Negative,manager halifax shopping centre senza corporation halifax role manager assist,0,2
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations CBC News ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations cbc news,2,2
RT theboutiqueadv 25 Fun Things to do in Halifax Nova Scotia ,Neutral,theboutiqueadv  fun halifax nova scotia,1,1
Why has every single person in Halifax played volleyball,Negative,single person halifax played volleyball,0,2
Mon midnight Temp 5 7 C Windchill 11 Wind NW 15 km h Humidity 54 Press 101 7 kPa rising ,Negative,midnight temp   windchill  wind nw  km humidity  press   kpa rising,1,4
Keyholder Sales Associate Halifax Structube Halifax NS Description The Key Holder Sales Associate is resp ,Negative,keyholder sales associate halifax structube halifax description key holder sales associate resp,0,2
Customer Loyalty Representative Admiral Insurance Services Halifax NS Halifax Nova Scotia In a competitive ma ,Neutral,customer loyalty representative admiral insurance services halifax halifax nova scotia competitive,3,3
RT Whale Sanctuary From thestarhalifax Nova Scotia HALIFAX A group hoping to create the world s first seaside sanctuary to welcome whal ,Positive,whale sanctuary thestarhalifax nova scotia halifax hoping create world seaside sanctuary welcome whal,2,1
the band in Halifax is playing sonny s dream with three electric guitars and I am honestly one chord away from filing a noise complaint,Negative,band halifax playing sonny dream electric guitars honestly chord filing noise complaint,1,4
Yeah awesome shit Styres You already took our team but now you re taking our history too What we earned BEFO ,Neutral,yeah awesome shit styres team taking history earned,2,2
RT AlbiDeak Halifax Discovery Centre celebrates 38th annual World Whale Day CetaceanRights RacingExtinction ,Positive,albideak halifax discovery centre celebrates th annual world whale cetaceanrights racingextinction,3,2
RT CBCNS After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations https ,Neutral,cbcns wilson raybould cartoon halifax artist stop drawing women violent situations https,2,2
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
 BlackHistoryMonth Private Eva May Roy worked in a military restaurant in Halifax during the Second World War Sh ,Negative,blackhistorymonth private eva roy military restaurant halifax world,0,3
16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Negative,  hrs heptonstall halifax locate person fallen ravine wooded guide officers,1,4
Manager of Contact Centre Leader of Leaders Manulife Halifax NS Manager of Contact Centre Leader of Leaders ,Negative,manager contact centre leader leaders manulife halifax manager contact centre leader leaders,1,2
RT janycemcgregor After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations CBC News ,Neutral,janycemcgregor wilson raybould cartoon halifax artist stop drawing women violent situations cbc news,2,2
This was an undeserved Liberal attack A cartoon needs to be honest not a misleading violent fabrication Aft ,Negative,undeserved liberal attack cartoon honest misleading violent fabrication,3,7
Co Manager Halifax Shopping Centre La Senza Corporation Halifax NS The role of the Co manager is to assist th ,Negative,manager halifax shopping centre senza corporation halifax role manager assist,0,2
After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations CBC News ,Neutral,wilson raybould cartoon halifax artist stop drawing women violent situations cbc news,2,2
RT theboutiqueadv 25 Fun Things to do in Halifax Nova Scotia ,Neutral,theboutiqueadv  fun halifax nova scotia,1,1
Why has every single person in Halifax played volleyball,Negative,single person halifax played volleyball,0,2
Mon midnight Temp 5 7 C Windchill 11 Wind NW 15 km h Humidity 54 Press 101 7 kPa rising ,Negative,midnight temp   windchill  wind nw  km humidity  press   kpa rising,1,4
Keyholder Sales Associate Halifax Structube Halifax NS Description The Key Holder Sales Associate is resp ,Negative,keyholder sales associate halifax structube halifax description key holder sales associate resp,0,2
Customer Loyalty Representative Admiral Insurance Services Halifax NS Halifax Nova Scotia In a competitive ma ,Neutral,customer loyalty representative admiral insurance services halifax halifax nova scotia competitive,3,3
RT Whale Sanctuary From thestarhalifax Nova Scotia HALIFAX A group hoping to create the world s first seaside sanctuary to welcome whal ,Positive,whale sanctuary thestarhalifax nova scotia halifax hoping create world seaside sanctuary welcome whal,2,1
the band in Halifax is playing sonny s dream with three electric guitars and I am honestly one chord away from filing a noise complaint,Negative,band halifax playing sonny dream electric guitars honestly chord filing noise complaint,1,4
16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Negative,  hrs heptonstall halifax locate person fallen ravine wooded guide officers,1,4
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
All aboard RonMacLeanHTH and TaraSlone are taken aboard the HMCS Vancouver a Halifax class Canadian Patrol Frig ,Neutral,aboard ronmacleanhth taraslone aboard hmcs vancouver halifax class canadian patrol frig,2,2
Our friends at the Halifax Partnership are hard at work to build Halifax s Innovation District Read more about it ,Negative,friends halifax partnership hard build halifax innovation district,2,3
Mon 09 00 Temp 7 9 C Windchill 12 Humidity 63 Press 101 6 kPa falling ,Negative,  temp   windchill  humidity  press   kpa falling,1,5
We seek an Executive Assistant to join Southwest Properties owner and operator of the highest quality apartments ,Positive,seek executive assistant join southwest properties owner operator quality apartments,1,0
 happystash Tony JV We stayed on the sidewalk and got loads of attention It s not compulsory to do sommat illegal ,Neutral,happystash tony jv stayed sidewalk loads attention compulsory sommat illegal,1,1
RT mattdagley Shooting red carpet style interviews with Melody from C100 at Zumba Masterclass for Heart Photo by snapd Halifax ,Negative,mattdagley shooting carpet style interviews melody c zumba masterclass heart photo snapd halifax,2,3
 KazzStansfield Yes the staff are great but the plans to relocate A amp E to Halifax still make no sense to me given ,Negative,kazzstansfield yes staff plans relocate amp halifax sense,0,1
Call Your Halifax Airport Cab NS 902 802 4259 airportcab taxiservice ,Negative,call halifax airport cab    airportcab taxiservice,0,2
Shooting red carpet style interviews with Melody from C100 at Zumba Masterclass for Heart Photo by snapd Halifax ,Negative,shooting carpet style interviews melody c zumba masterclass heart photo snapd halifax,2,3
Photo Halifax Aerials Halifax ,Neutral,photo halifax aerials halifax,1,1
 halifaxhoops HalifaxWestHS MountMystics ACAA AASC MSVU Halifax So proud of my nephew Redford ,Neutral,halifaxhoops halifaxwesths mountmystics acaa aasc msvu halifax proud nephew redford,1,1
RT PyropeFireEye Do you like anime Peep my new track prophxcybeats anime onepiece DBZ goku vegeta rap ,Negative,pyropefireeye anime peep track prophxcybeats anime onepiece dbz goku vegeta rap,0,1
RT HfxSeaportMrkt Happy Heritage Day Halifax A friendly reminder that our winter hours are in effect We re open 10 a m to 5 p m Tuesd ,Positive,hfxseaportmrkt happy heritage halifax friendly reminder winter hours effect   tuesd,3,1
16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Negative,  hrs heptonstall halifax locate person fallen ravine wooded guide officers,1,4
Still working on a memorial night for Harry up in Yorkshire for May but need to find a proper venue I would prefe ,Neutral,memorial night harry yorkshire proper venue prefe,1,1
All aboard RonMacLeanHTH and TaraSlone are taken aboard the HMCS Vancouver a Halifax class Canadian Patrol Frig ,Neutral,aboard ronmacleanhth taraslone aboard hmcs vancouver halifax class canadian patrol frig,2,2
Our friends at the Halifax Partnership are hard at work to build Halifax s Innovation District Read more about it ,Negative,friends halifax partnership hard build halifax innovation district,2,3
Mon 09 00 Temp 7 9 C Windchill 12 Humidity 63 Press 101 6 kPa falling ,Negative,  temp   windchill  humidity  press   kpa falling,1,5
We seek an Executive Assistant to join Southwest Properties owner and operator of the highest quality apartments ,Positive,seek executive assistant join southwest properties owner operator quality apartments,1,0
 happystash Tony JV We stayed on the sidewalk and got loads of attention It s not compulsory to do sommat illegal ,Neutral,happystash tony jv stayed sidewalk loads attention compulsory sommat illegal,1,1
RT mattdagley Shooting red carpet style interviews with Melody from C100 at Zumba Masterclass for Heart Photo by snapd Halifax ,Negative,mattdagley shooting carpet style interviews melody c zumba masterclass heart photo snapd halifax,2,3
 KazzStansfield Yes the staff are great but the plans to relocate A amp E to Halifax still make no sense to me given ,Negative,kazzstansfield yes staff plans relocate amp halifax sense,0,1
Call Your Halifax Airport Cab NS 902 802 4259 airportcab taxiservice ,Negative,call halifax airport cab    airportcab taxiservice,0,2
Shooting red carpet style interviews with Melody from C100 at Zumba Masterclass for Heart Photo by snapd Halifax ,Negative,shooting carpet style interviews melody c zumba masterclass heart photo snapd halifax,2,3
Photo Halifax Aerials Halifax ,Neutral,photo halifax aerials halifax,1,1
 halifaxhoops HalifaxWestHS MountMystics ACAA AASC MSVU Halifax So proud of my nephew Redford ,Neutral,halifaxhoops halifaxwesths mountmystics acaa aasc msvu halifax proud nephew redford,1,1
RT PyropeFireEye Do you like anime Peep my new track prophxcybeats anime onepiece DBZ goku vegeta rap ,Negative,pyropefireeye anime peep track prophxcybeats anime onepiece dbz goku vegeta rap,0,1
RT HfxSeaportMrkt Happy Heritage Day Halifax A friendly reminder that our winter hours are in effect We re open 10 a m to 5 p m Tuesd ,Positive,hfxseaportmrkt happy heritage halifax friendly reminder winter hours effect   tuesd,3,1
16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Negative,  hrs heptonstall halifax locate person fallen ravine wooded guide officers,1,4
All aboard RonMacLeanHTH and TaraSlone are taken aboard the HMCS Vancouver a Halifax class Canadian Patrol Frig ,Neutral,aboard ronmacleanhth taraslone aboard hmcs vancouver halifax class canadian patrol frig,2,2
Welcome to the Scotiabank Centre and our city Halifax Thunderbirds Your name your logo and your team is sick ,Negative,welcome scotiabank centre city halifax thunderbirds name logo team sick,1,2
RT LYPFT CONNECT Excited to announce we are offering two workshops for carers friends family members of people accessing our service S ,Positive,lypft connect excited announce offering workshops carers friends family people accessing service,4,2
Mon 11 00 Temp 6 3 C Windchill 8 Humidity 55 Press 101 5 kPa falling ,Negative,  temp   windchill  humidity  press   kpa falling,1,5
The S S Daisy which carried members of the NLSupremeCourt on Circuit around Newfoundland during the 1920 s toda ,Positive,daisy carried nlsupremecourt circuit newfoundland ,1,0
RT WW2Facts The wireless operator of a Handley Page Halifax of No 35 Squadron RAF in his position prior to take off at Linton On Ouse ,Negative,wwfacts wireless operator handley page halifax  squadron raf position prior linton ouse,0,2
RT CBCCanada After Wilson Raybould cartoon Halifax artist says he ll stop drawing women in violent situations ht ,Neutral,cbccanada wilson raybould cartoon halifax artist stop drawing women violent situations,2,2
 WardBurtonWBWF RockyGear Realtree xroadsburtons I keep forgetting you guys are in Halifax I m in Halifax Nova Scotia ,Negative,wardburtonwbwf rockygear realtree xroadsburtons forgetting guys halifax halifax nova scotia,0,2
 Halifax Calderdale drivingtest drivinglessons drivinglicence HalifaxDTC Drivesafe drivinginstructor ,Neutral,halifax calderdale drivingtest drivinglessons drivinglicence halifaxdtc drivesafe drivinginstructor,1,1
RT WW2Facts The wireless operator of a Handley Page Halifax of No 35 Squadron RAF in his position prior to take off at Linton On Ouse ,Negative,wwfacts wireless operator handley page halifax  squadron raf position prior linton ouse,0,2
Hey Halifax CME s Economic Roadshow is coming your way Feb 27 Register today to receive economic insights learn ,Negative,halifax cme economic roadshow coming feb  register receive economic insights learn,0,1
American businessman Anthony Marlow made headlines six weeks ago when he bought ServiCom Call Centre one of Sydney ,Negative,american businessman anthony marlow headlines six weeks ago bought servicom call centre sydney,0,3
it s a good day to HaggleWithCal on until 6PM in Halifax sweetdeals ,Negative,hagglewithcal pm halifax sweetdeals,1,2
Happy MaudLewis HeritageDay How are you spending your Holiday Monday Halifax ArtGalleryNS MaudLivesHere ,Negative,happy maudlewis heritageday spending holiday monday halifax artgalleryns maudliveshere,1,4
These bald puppies are recovering after being dumped in two separate incidents in Halifax ,Negative,bald puppies recovering dumped separate incidents halifax,1,5
16 2 2220hrs Heptonstall Halifax locate person who had fallen down ravine in a wooded area guide in officers an ,Negative,  hrs heptonstall halifax locate person fallen ravine wooded guide officers,1,4
All aboard RonMacLeanHTH and TaraSlone are taken aboard the HMCS Vancouver a Halifax class Canadian Patrol Frig ,Neutral,aboard ronmacleanhth taraslone aboard hmcs vancouver halifax class canadian patrol frig,2,2
RT songwritersofCa Last year pro member QuakeMatthews wrote Drinking Games at our Halifax Pro SongWorks camp This year it has been ,Neutral,songwritersofca quakematthews wrote drinking games halifax songworks camp,2,2
RT CBCNL More buildings in St John s a new music venue and even a new hotel in Halifax John Steele expanding Jag Hotel ,Negative,cbcnl buildings john music venue hotel halifax john steele expanding jag hotel,1,5
100 years after the anti Chinese riots in Halifax racism,Negative, chinese riots halifax racism,0,2
RT E 3 C PLease RT Halifax We have someone looking for an African Nova Scotian comic artist illustrator to illustrate a story another w ,Negative, please halifax looking african nova scotian comic artist illustrator illustrate story,1,3
RT BBCLeeds Back to the Seventies with RadioAndrewE and Jive Talking the BeeGee tribute show coming to Halifax VicTheatre UkTheat ,Negative,bbcleeds seventies radioandrewe jive talking beegee tribute coming halifax victheatre uktheat,0,2
